id,name,code,media_type_id/id,source_id/id,system
application_iotp,application/IOTP,application_iotp,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ipfix,application/ipfix,application_ipfix,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ipp,application/ipp,application_ipp,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_isup,application/ISUP,application_isup,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_its_xml,application/its+xml,application_its_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_javascript,application/javascript,application_javascript,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_jose,application/jose,application_jose,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_jose_json,application/jose+json,application_jose_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_jrd_json,application/jrd+json,application_jrd_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_json,application/json,application_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_json_patch_json,application/json-patch+json,application_json_patch_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_json_seq,application/json-seq,application_json_seq,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_jwk_json,application/jwk+json,application_jwk_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_jwk_set_json,application/jwk-set+json,application_jwk_set_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_jwt,application/jwt,application_jwt,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_kpml_request_xml,application/kpml-request+xml,application_kpml_request_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_kpml_response_xml,application/kpml-response+xml,application_kpml_response_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ld_json,application/ld+json,application_ld_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_link_format,application/link-format,application_link_format,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
