id,code,name,definition,level,contains_id/id,value_set_ids/id,country_ids/id,source_id/id,system
race_169,1130-4,"Grand Traverse Band of Ottawa-Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_170,1131-2,"Keweenaw",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_171,1132-0,"Lac Courte Oreilles",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_172,1133-8,"Lac du Flambeau",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_173,1134-6,"Lac Vieux Desert Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_174,1135-3,"Lake Superior",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_175,1136-1,"Leech Lake",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_176,1137-9,"Little Shell Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_177,1138-7,"Mille Lacs",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_178,1139-5,"Minnesota Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_179,1140-3,"Ontonagon",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_180,1141-1,"Red Cliff Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_181,1142-9,"Red Lake Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_182,1143-7,"Saginaw Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_183,1144-5,"St. Croix Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_184,1145-2,"Sault Ste. Marie Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_185,1146-0,"Sokoagon Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_186,1147-8,"Turtle Mountain",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_187,1148-6,"White Earth",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_188,1150-2,"Chippewa Cree",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_189,1151-0,"Rocky Boy's Chippewa Cree",,,race_188,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_190,1153-6,"Chitimacha",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_191,1155-1,"Choctaw",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
